X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.379522756159,34.0927866668468,21715,HSIP Freedom Gnis_cultural_fe,1744820,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sunset Plaza Shopping Center,,,,,,,,,,23971,,,http://egis3.lacounty.gov/lms/?p=23971,publish,34.0927867,-118.3795227,,2010/11/01 19:50:56+00,,6446764.27433005,1856364.1769838
-118.456468156302,34.0188992667934,21724,HSIP Freedom Gnis_cultural_fe,1693167,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Ocean Park Plaza Shopping Center,,,,,,,,,,23981,,,http://egis3.lacounty.gov/lms/?p=23981,publish,34.0188993,-118.4564681,,2010/11/01 19:50:56+00,,6423345.96749222,1829572.27092206
-118.377300255841,34.0750094665162,21727,HSIP Freedom Gnis_cultural_fe,1693223,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Beverly Center Shopping Center,,,,,,,,,,23984,,,http://egis3.lacounty.gov/lms/?p=23984,publish,34.0750095,-118.3773002,,2010/11/01 19:50:56+00,,6447412.88228481,1849892.22929782
-118.49046712593,34.0475213369132,21728,HSIP Freedom Gnis_cultural_fe,1693226,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Brentwood Country Mart Shopping Center,,,,,,,,,,23985,,,http://egis3.lacounty.gov/lms/?p=23985,publish,34.04752137,-118.49046707,,2011/04/24 22:51:38+00,,6413094.10085689,1840036.81396931
-118.461746555887,34.0494537669984,21729,HSIP Freedom Gnis_cultural_fe,1693227,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Brentwood Place Shopping Center,,,,,,,,,,23986,,,http://egis3.lacounty.gov/lms/?p=23986,publish,34.0494538,-118.4617465,,2010/11/01 19:50:56+00,,6421797.53423738,1840698.8464379
-118.418967856069,34.0588984668642,21730,HSIP Freedom Gnis_cultural_fe,1693230,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Century City Center Shopping Center,,,,,,,,,,23987,,,http://egis3.lacounty.gov/lms/?p=23987,publish,34.0588985,-118.4189678,,2010/11/01 19:50:56+00,,6434770.35573263,1844079.15627831
-118.493969055685,34.0136210669244,21732,HSIP Freedom Gnis_cultural_fe,1693186,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Santa Monica Place Shopping Center,,,,,,,,,,23989,,,http://egis3.lacounty.gov/lms/?p=23989,publish,34.0136211,-118.493969,,2010/11/01 19:50:56+00,,6411972.6500158,1827705.17623106
-118.485080255704,34.0305652668491,21734,HSIP Freedom Gnis_cultural_fe,1693201,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Wilshire West Shopping Center,,,,,,,,,,23991,,,http://egis3.lacounty.gov/lms/?p=23991,publish,34.0305653,-118.4850802,,2010/11/01 19:50:56+00,,6414696.14391264,1833858.31943657
-118.393410556109,34.0022341668642,21735,HSIP Freedom Gnis_cultural_fe,1693243,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Raintree Plaza Shopping Center,,,,,,,,,,23992,,,http://egis3.lacounty.gov/lms/?p=23992,publish,34.0022342,-118.3934105,,2010/11/01 19:50:56+00,,6442430.58549088,1823426.7687774
-118.378688655651,34.0438995668953,21736,HSIP Freedom Gnis_cultural_fe,1693249,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Ward Plaza Shopping Center,,,,,,,,,,23993,,,http://egis3.lacounty.gov/lms/?p=23993,publish,34.0438996,-118.3786886,,2010/11/01 19:50:56+00,,6446949.78445771,1838572.39695065
-118.453694755764,34.2819460663636,21738,HSIP Freedom Gnis_cultural_fe,1732355,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,La Rinda Shopping Center,,,,,,,,,,23995,,,http://egis3.lacounty.gov/lms/?p=23995,publish,34.2819461,-118.4536947,,2010/11/01 19:50:56+00,,6424618.46199447,1925295.10867548
-118.500363156288,34.2708354665572,21739,HSIP Freedom Gnis_cultural_fe,1733563,Private Industry,Shopping Centers,,Kato & Associates,Balboa-Mission Shopping Center,16830 San Fernando Mission Blvd,,Los Angeles,CA,,,,,,23996,,91344,http://egis3.lacounty.gov/lms/?p=23996,publish,34.2708355,-118.5003631,,2011/04/20 22:59:07+00,,6410500.87933731,1921318.71111648
-118.50036315624,34.273057666124,21740,HSIP Freedom Gnis_cultural_fe,1733564,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Balboa-Mission Square Shopping Center,,,,,,,,,,23998,,,http://egis3.lacounty.gov/lms/?p=23998,publish,34.2730577,-118.5003631,,2010/11/01 19:50:56+00,,6410504.9049198,1922127.40011589
-118.537030855522,34.2577805664391,21741,HSIP Freedom Gnis_cultural_fe,1733578,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Devonshire-Reseda Shopping Center,,,,,,,,,,23999,,,http://egis3.lacounty.gov/lms/?p=23999,publish,34.2577806,-118.5370308,,2010/11/01 19:50:56+00,,6399397.57214764,1916625.02824664
-118.525086056357,34.2663913659009,21742,HSIP Freedom Gnis_cultural_fe,1733589,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Granada Village Shopping Center,,,,,,,,,,24000,,,http://egis3.lacounty.gov/lms/?p=24000,publish,34.2663914,-118.525086,,2010/11/01 19:50:56+00,,6403023.22729789,1919739.54334307
-118.500363156212,34.2566694664739,21743,HSIP Freedom Gnis_cultural_fe,1733621,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,North Hills Shopping Center,,,,,,,,,,24001,,,http://egis3.lacounty.gov/lms/?p=24001,publish,34.2566695,-118.5003631,,2010/11/01 19:50:56+00,,6410475.21731514,1916163.50948465
-118.60508825618,34.2494477659869,21744,HSIP Freedom Gnis_cultural_fe,1733648,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Topango Festival Shopping Center,,,,,,,,,,24002,,,http://egis3.lacounty.gov/lms/?p=24002,publish,34.2494478,-118.6050882,,2010/11/01 19:50:56+00,,6378814.88102964,1913709.45730615
-118.325912056631,34.2605580669256,21746,HSIP Freedom Gnis_cultural_fe,1732609,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sunland Shopping Center,,,,,,,,,,24004,,,http://egis3.lacounty.gov/lms/?p=24004,publish,34.2605581,-118.325912,,2010/11/01 19:50:56+00,,6463193.59613013,1917361.97526357
-118.429527056111,34.3102782662749,21747,HSIP Freedom Gnis_cultural_fe,1732611,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sylmar Shopping Center,,,,,,,,,,24005,,,http://egis3.lacounty.gov/lms/?p=24005,publish,34.3102783,-118.429527,,2010/11/01 19:50:56+00,,6431963.04113731,1935573.55137314
-118.433971755765,34.3086116663303,21748,HSIP Freedom Gnis_cultural_fe,1732612,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sylmar Square Shopping Center,,,,,,,,,,24006,,,http://egis3.lacounty.gov/lms/?p=24006,publish,34.3086117,-118.4339717,,2010/11/01 19:50:56+00,,6430618.23378755,1934972.81536989
-118.442027555942,34.3000009658866,21749,HSIP Freedom Gnis_cultural_fe,1732613,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sylmar Towne Shopping Center,,,,,,,,,,24007,,,http://egis3.lacounty.gov/lms/?p=24007,publish,34.300001,-118.4420275,,2010/11/01 19:50:56+00,,6428171.75442855,1931849.85245572
-118.325352256564,33.932236567229,21750,HSIP Freedom Gnis_cultural_fe,1731926,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Crenshaw Imperial Shopping Center,,,,,,,,,,24008,,,http://egis3.lacounty.gov/lms/?p=24008,publish,33.9322366,-118.3253522,,2010/11/01 19:50:56+00,,6462976.00995113,1797879.53017381
-118.351463855789,33.9208474672481,21752,HSIP Freedom Gnis_cultural_fe,1731956,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Hawthorne Plaza Shopping Center,,,,,,,,,,24010,,,http://egis3.lacounty.gov/lms/?p=24010,publish,33.9208475,-118.3514638,,2010/11/01 19:50:56+00,,6455040.69708164,1793761.47213697
-118.344340375782,33.9497769571596,21753,HSIP Freedom Gnis_cultural_fe,1731958,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Holly Park Plaza Shopping Center,,,,,,,,,,24011,,,http://egis3.lacounty.gov/lms/?p=24011,publish,33.94977699,-118.34434032,,2011/04/21 00:07:29+00,,6457237.92693913,1804282.01540031
-118.39563095539,33.8922361675047,21754,HSIP Freedom Gnis_cultural_fe,1732064,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Sepulveda Shopping Center,,,,,,,,,,24012,,,http://egis3.lacounty.gov/lms/?p=24012,publish,33.8922362,-118.3956309,,2010/11/01 19:50:56+00,,6441600.04581338,1783399.03420047
-118.80981185508,34.0211186665967,21766,HSIP Freedom Gnis_cultural_fe,1733133,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Point Dume Plaza Shopping Center,,,,,,,,,,24025,,,http://egis3.lacounty.gov/lms/?p=24025,publish,34.0211187,-118.8098118,,2010/11/01 19:50:56+00,,6316279.89914447,1831054.36572689
-118.502029655795,34.2352812668401,21767,HSIP Freedom Gnis_cultural_fe,1733201,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Balboa Nordhoff Shopping Center,,,,,,,,,,24026,,,http://egis3.lacounty.gov/lms/?p=24026,publish,34.2352813,-118.5020296,,2010/11/01 19:50:56+00,,6409932.77975172,1908382.56376047
-118.385908655872,33.9014028674661,21769,HSIP Freedom Gnis_cultural_fe,1732053,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Manhattan Marketplace Shopping Center,,,,,,,,,,24028,,,http://egis3.lacounty.gov/lms/?p=24028,publish,33.9014029,-118.3859086,,2010/11/01 19:50:56+00,,6444563.46573955,1786723.51639664
-118.39535325619,33.8986249670276,21770,HSIP Freedom Gnis_cultural_fe,1732054,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Manhattan Village Shopping Center,,,,,,,,,,24029,,,http://egis3.lacounty.gov/lms/?p=24029,publish,33.898625,-118.3953532,,2010/11/01 19:50:56+00,,6441693.46918297,1785723.71918364
-118.363407456393,33.8575150675345,21771,HSIP Freedom Gnis_cultural_fe,1732993,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,North Torrance Shopping Center,,,,,,,,,,24030,,,http://egis3.lacounty.gov/lms/?p=24030,publish,33.8575151,-118.3634074,,2010/11/01 19:50:56+00,,6451333.84983656,1770726.34137006
-118.367295756088,33.8133491674387,21772,HSIP Freedom Gnis_cultural_fe,1732995,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Pacific Plaza Shopping Center,,,,,,,,,,24031,,,http://egis3.lacounty.gov/lms/?p=24031,publish,33.8133492,-118.3672957,,2010/11/01 19:50:56+00,,6450094.5718033,1754657.62744457
-118.355351456179,33.8383488672317,21773,HSIP Freedom Gnis_cultural_fe,1732998,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Plaza Del Amo Shopping Center,,,,,,,,,,24032,,,http://egis3.lacounty.gov/lms/?p=24032,publish,33.8383489,-118.3553514,,2010/11/01 19:50:56+00,,6453755.11599138,1763742.57449773
-118.370906255266,33.7708498672901,21775,HSIP Freedom Gnis_cultural_fe,1733015,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,The Shops At Palos Verdes Shopping Center,,,,,,,,,,24034,,,http://egis3.lacounty.gov/lms/?p=24034,publish,33.7708499,-118.3709062,,2010/11/01 19:50:56+00,,6448940.72142072,1739195.08619122
-118.352296056122,33.8530709674157,21776,HSIP Freedom Gnis_cultural_fe,1733019,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Torrance Promenade Shopping Center,,,,,,,,,,24035,,,http://egis3.lacounty.gov/lms/?p=24035,publish,33.853071,-118.352296,,2010/11/01 19:50:56+00,,6454701.77190647,1769097.02179407
-118.405906555299,33.7486275677239,21777,HSIP Freedom Gnis_cultural_fe,1733063,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Golden Cove Shopping Center,,,,,,,,,,24036,,,http://egis3.lacounty.gov/lms/?p=24036,publish,33.7486276,-118.4059065,,2010/11/01 19:50:56+00,,6438270.46913922,1731148.91101064
-118.394241555811,33.865292267005,21778,HSIP Freedom Gnis_cultural_fe,1733067,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Hermosa Beach Pavilion Shopping Center,,,,,,,,,,24037,,,http://egis3.lacounty.gov/lms/?p=24037,publish,33.8652923,-118.3942415,,2010/11/01 19:50:56+00,,6441983.2553488,1773591.91700372
-118.842313554593,34.0311186664429,21780,HSIP Freedom Gnis_cultural_fe,1733145,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Trancas Market Shopping Center,,,,,,,,,,24039,,,http://egis3.lacounty.gov/lms/?p=24039,publish,34.0311187,-118.8423135,,2010/11/01 19:50:56+00,,6306461.90500097,1834774.37501915
-118.539481815702,34.1698786268134,21781,HSIP Freedom Gnis_cultural_fe,1733203,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Brown Center Shopping Center,,,,,,,,,,24040,,,http://egis3.lacounty.gov/lms/?p=24040,publish,34.16987866,-118.53948176,,2011/04/21 20:59:00+00,,6398485.29542889,1884640.34812164
-118.558418556137,34.1722273668616,21782,HSIP Freedom Gnis_cultural_fe,1733208,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Capri Plaza Shopping Center,,,,,,,,,,24041,,,http://egis3.lacounty.gov/lms/?p=24041,publish,34.1722274,-118.5584185,,2010/11/01 19:50:56+00,,6392762.02570747,1885526.36636272
-118.511750455685,34.1616722663326,21783,HSIP Freedom Gnis_cultural_fe,1733210,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Courtyard Shops Of Encino Shopping Center,,,,,,,,,,24042,,,http://egis3.lacounty.gov/lms/?p=24042,publish,34.1616723,-118.5117504,,2010/11/01 19:50:56+00,,6406858.3315043,1881610.07990398
-118.513711145658,34.1618181260964,21784,HSIP Freedom Gnis_cultural_fe,1733215,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Encino Junior Shopping Center,,,,,,,,,,24043,,,http://egis3.lacounty.gov/lms/?p=24043,publish,34.16181816,-118.51371109,,2011/04/21 21:08:43+00,,6406265.4704853,1881666.1857629
-118.510639256243,34.1605611668566,21785,HSIP Freedom Gnis_cultural_fe,1733216,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Encino Oaks Shopping Center,,,,,,,,,,24044,,,http://egis3.lacounty.gov/lms/?p=24044,publish,34.1605612,-118.5106392,,2010/11/01 19:50:56+00,,6407192.42860514,1881204.02625415
-118.508694855417,34.160283366339,21786,HSIP Freedom Gnis_cultural_fe,1733217,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Encino Town Center Shopping Center,,,,,,,,,,24045,,,http://egis3.lacounty.gov/lms/?p=24045,publish,34.1602834,-118.5086948,,2010/11/01 19:50:56+00,,6407780.12952948,1881099.94837831
-118.625642955847,34.1897269660631,21787,HSIP Freedom Gnis_cultural_fe,1733218,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Fallbrook Mall Shopping Center,,,,,,,,,,24046,,,http://egis3.lacounty.gov/lms/?p=24046,publish,34.189727,-118.6256429,,2010/11/01 19:50:56+00,,6372468.13191214,1892014.42622122
-118.62619855538,34.1897269660647,21788,HSIP Freedom Gnis_cultural_fe,1733218,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Fallbrook Mall Shopping Center,,,,,,,,,,24047,,,http://egis3.lacounty.gov/lms/?p=24047,publish,34.189727,-118.6261985,,2010/11/01 19:50:56+00,,6372300.11387546,1892015.47247897
-118.572030755714,34.2019488665748,21789,HSIP Freedom Gnis_cultural_fe,1733220,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Independence Square Shopping Center,,,,,,,,,,24048,,,http://egis3.lacounty.gov/lms/?p=24048,publish,34.2019489,-118.5720307,,2010/11/01 19:50:56+00,,6388706.25625996,1896365.53530115
-118.555363255977,34.1875047660694,21790,HSIP Freedom Gnis_cultural_fe,1733225,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Loehmanns Plaza Shopping Center,,,,,,,,,,24049,,,http://egis3.lacounty.gov/lms/?p=24049,publish,34.1875048,-118.5553632,,2010/11/01 19:50:56+00,,6393716.8892833,1891080.88379698
-118.554531056127,34.2375034667784,21791,HSIP Freedom Gnis_cultural_fe,1733228,Private Industry,Shopping Centers,,US Geological Survey (USGS) & LA County,Northridge Fashion Center Shopping Center,,,,,,,,,,24050,,,http://egis3.lacounty.gov/lms/?p=24050,publish,34.2375035,-118.554531,,2010/11/01 19:50:56+00,,6394068.94041647,1909274.6482624
